,Smile格式,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,,细胞毒性 IC50,,,,溶血 HC10   ,EC50,CC50,期刊名、卷、页码,其他数据如：MBC,文献原始数据截图,备注,,,,,,,,,,
,,3e：R = 4 - OMe,,2.5×10⁵,1.9×10⁵,,,,2.5×10⁵,1.9×10⁵,1.9×10⁵,9.9×10⁴,0.70096,,,,,,,,,,,,,,,,,,,,
,,3f：R = 2 - Cl,,5.0×10⁴,5.0×10⁴,,,,5.0×10⁴,1.2×10⁵,5.0×10⁴,1.2×10⁵,0.4781,,,,,,,,,,,,,,,,,,,,
,,3g：R = 3 - Cl,,1.9×10⁵,2.5×10⁵,,,,1.2×10⁵,2.5×10⁵,9.9×10⁴,1.9×10⁵,0.26637,,,,,,,,,,,,,,,,,,,,
,,3h：R = 4 - Cl,,1.2×10⁵,5.0×10⁴,,,,5.0×10⁴,5.0×10⁴,1.9×10⁵,5.0×10⁴,0.51908,,,,,,,,,,,,,,,,,,,,
,,"3i：R = 2,4,5 - tri - Cl",,6.2×10⁴,1.9×10⁵,,,,6.2×10⁴,1.2×10⁵,6.2×10⁴,1.9×10⁵,0.45976,,,,,,,,,,,,,,,,,,,,
,,3j：R = 4 - F,,1.2×10⁵,2.0×10⁵,,,,2.0×10⁵,1.2×10⁵,2.0×10⁵,9.9×10⁴,0.468,,,,,,,,,,,,,,,,,,,,
,,3k：R = 3 - CF₃,,2.0×10⁵,6.4×10⁴,,,,5.1×10⁴,6.4×10⁴,6.4×10⁴,2.0×10⁵,0.2709,,,,,,,,,,,,,,,,,,,,
,,3l：R = 4 - Br,,5.0×10⁴,9.9×10⁴,,,,5.0×10⁴,5.0×10⁴,5.0×10⁴,5.0×10⁴,0.26634,,,,,,,,,,,,,,,,,,,,
,,3m：R = 3 - NO₂,,4.9×10⁴,4.9×10⁴,,,,4.9×10⁴,1.9×10⁵,4.9×10⁴,1.9×10⁵,0.41888,,,,,,,,,,,,,,,,,,,,
,,3n：R = 4 - NO₂,,1.2×10⁵,9.9×10⁴,,,,1.2×10⁵,1.9×10⁵,2.5×10⁵,1.2×10⁵,0.264,,,,,,,,,,,,,,,,,,,,
