step,mean_reward,valid_rate,triazole_rate
276,0.563616,0.929688,0.984375
277,0.560904,0.937500,0.968750
278,0.556057,0.921875,0.968750
279,0.562242,0.937500,0.976562
280,0.550936,0.945312,0.984375
281,0.556309,0.929688,0.968750
282,0.542646,0.890625,0.976562
283,0.549635,0.945312,0.992188
284,0.562100,0.929688,0.984375
285,0.562549,0.921875,0.984375
286,0.558256,0.929688,0.968750
287,0.565693,0.960938,0.968750
288,0.548421,0.914062,0.953125
289,0.556581,0.937500,0.984375
290,0.555851,0.851562,0.953125
291,0.554591,0.898438,0.960938
292,0.553305,0.937500,0.968750
293,0.560893,0.906250,0.953125
294,0.559341,0.960938,0.992188
295,0.551817,0.914062,0.976562
296,0.550677,0.953125,0.960938
297,0.558995,0.906250,0.976562
298,0.552308,0.953125,0.976562
299,0.559376,0.945312,0.984375
300,0.548148,0.898438,0.976562
301,0.571453,0.937500,0.960938
302,0.558323,0.929688,0.968750
303,0.556511,0.929688,0.945312
304,0.556203,0.898438,0.960938
305,0.562629,0.898438,0.953125
306,0.552266,0.929688,0.953125
307,0.566823,0.875000,0.953125
308,0.556077,0.890625,0.929688
309,0.558116,0.906250,0.945312
310,0.553493,0.914062,0.968750
311,0.562499,0.882812,0.914062
312,0.559390,0.921875,0.968750
313,0.556366,0.929688,0.953125
314,0.552360,0.953125,1.000000
315,0.563643,0.898438,0.960938
316,0.555637,0.921875,0.968750
317,0.551586,0.921875,0.984375
318,0.560613,0.921875,0.976562
319,0.561587,0.968750,0.992188
320,0.555882,0.890625,0.960938
321,0.556200,0.945312,0.976562
322,0.562212,0.914062,0.968750
323,0.562232,0.906250,0.960938
324,0.561571,0.921875,0.968750
325,0.559193,0.921875,0.968750
326,0.551100,0.929688,0.976562
327,0.559794,0.898438,0.921875
328,0.556921,0.929688,0.976562
329,0.553899,0.867188,0.945312
330,0.565182,0.835938,0.945312
331,0.563243,0.929688,0.953125
332,0.559359,0.945312,0.984375
333,0.565500,0.914062,0.968750
334,0.557732,0.898438,0.968750
335,0.559900,0.875000,0.945312
336,0.568527,0.898438,0.945312
337,0.560019,0.890625,0.984375
338,0.553245,0.914062,0.968750
339,0.555943,0.898438,0.968750
340,0.552069,0.921875,0.984375
341,0.546540,0.898438,0.945312
342,0.553891,0.843750,0.960938
343,0.554743,0.890625,0.960938
344,0.569149,0.898438,0.968750
345,0.545357,0.835938,0.898438
346,0.559786,0.906250,0.929688
347,0.563698,0.937500,0.968750
348,0.551658,0.843750,0.937500
349,0.560044,0.882812,0.945312
350,0.556409,0.906250,0.968750
351,0.559585,0.890625,0.984375
352,0.562258,0.937500,0.968750
353,0.557846,0.875000,0.953125
354,0.561405,0.890625,0.968750
355,0.558918,0.882812,0.960938
356,0.564430,0.945312,0.968750
357,0.563697,0.906250,0.984375
358,0.560951,0.929688,0.968750
359,0.552806,0.906250,0.960938
360,0.560687,0.875000,0.921875
361,0.551023,0.875000,0.976562
362,0.562979,0.906250,0.945312
363,0.548782,0.875000,0.937500
364,0.556816,0.859375,0.945312
365,0.566578,0.906250,0.976562
366,0.557350,0.929688,0.968750
367,0.559477,0.882812,0.968750
368,0.558225,0.898438,0.945312
369,0.571805,0.914062,0.937500
370,0.556880,0.890625,0.929688
371,0.568917,0.906250,0.945312
372,0.551120,0.914062,0.960938
373,0.564950,0.914062,0.953125
374,0.555063,0.921875,0.968750
375,0.559904,0.906250,0.960938
376,0.572514,0.906250,0.960938
377,0.555249,0.890625,0.968750
378,0.562305,0.867188,0.953125
379,0.559961,0.914062,0.960938
380,0.567047,0.914062,0.945312
381,0.562041,0.882812,0.937500
382,0.564051,0.906250,0.960938
383,0.557945,0.828125,0.921875
384,0.563704,0.835938,0.945312
385,0.566957,0.804688,0.914062
386,0.559190,0.890625,0.945312
387,0.569969,0.921875,0.960938
388,0.553702,0.898438,0.953125
389,0.564765,0.929688,0.976562
390,0.561846,0.867188,0.953125
391,0.566629,0.882812,0.976562
392,0.568673,0.906250,0.929688
393,0.564399,0.921875,0.968750
394,0.563152,0.882812,0.945312
395,0.564834,0.851562,0.953125
396,0.547191,0.851562,0.960938
397,0.564287,0.875000,0.968750
398,0.577342,0.882812,0.945312
399,0.557332,0.929688,0.968750
400,0.557234,0.898438,0.945312
401,0.562067,0.859375,0.929688
402,0.570227,0.882812,0.945312
403,0.568064,0.859375,0.960938
404,0.562789,0.914062,0.968750
405,0.558875,0.843750,0.937500
406,0.564579,0.859375,0.945312
407,0.567809,0.867188,0.945312
408,0.563252,0.898438,0.968750
409,0.560561,0.875000,0.953125
410,0.561020,0.859375,0.953125
411,0.559374,0.921875,0.953125
412,0.567124,0.890625,0.976562
413,0.563612,0.921875,0.984375
414,0.565376,0.906250,0.953125
415,0.559686,0.890625,0.984375
416,0.576554,0.828125,0.929688
417,0.563274,0.851562,0.937500
418,0.562425,0.828125,0.960938
419,0.574242,0.914062,0.968750
420,0.554535,0.882812,0.937500
421,0.569697,0.875000,0.968750
422,0.564791,0.867188,0.945312
423,0.554036,0.828125,0.921875
424,0.572296,0.875000,0.953125
425,0.568282,0.890625,0.953125
426,0.576304,0.851562,0.945312
427,0.567762,0.851562,0.953125
428,0.571743,0.851562,0.960938
429,0.566885,0.882812,0.937500
430,0.570345,0.851562,0.945312
431,0.566388,0.906250,0.976562
432,0.565812,0.851562,0.953125
433,0.564093,0.882812,0.945312
434,0.578485,0.890625,0.960938
435,0.567158,0.851562,0.921875
436,0.570238,0.921875,0.953125
437,0.559098,0.828125,0.921875
438,0.563264,0.890625,0.960938
439,0.568770,0.843750,0.937500
440,0.565520,0.890625,0.968750
441,0.554189,0.875000,0.937500
442,0.564061,0.906250,0.992188
443,0.567165,0.828125,0.929688
444,0.565278,0.867188,0.960938
445,0.561687,0.898438,0.968750
446,0.556102,0.875000,0.945312
447,0.570038,0.828125,0.937500
448,0.560450,0.859375,0.937500
449,0.563684,0.859375,0.968750
450,0.567744,0.882812,0.968750
451,0.565037,0.890625,0.960938
452,0.573357,0.882812,0.937500
453,0.567487,0.804688,0.945312
454,0.572998,0.875000,0.953125
455,0.566135,0.867188,0.976562
456,0.567014,0.851562,0.929688
457,0.564924,0.875000,0.960938
458,0.568655,0.906250,0.984375
459,0.566179,0.812500,0.921875
460,0.567416,0.843750,0.921875
461,0.556987,0.867188,0.945312
462,0.563654,0.843750,0.914062
463,0.573765,0.835938,0.906250
464,0.566903,0.835938,0.890625
465,0.572658,0.921875,0.968750
466,0.563493,0.906250,0.953125
467,0.570892,0.875000,0.914062
468,0.580012,0.898438,0.945312
469,0.563363,0.875000,0.960938
470,0.561017,0.859375,0.968750
471,0.560167,0.828125,0.929688
472,0.569392,0.796875,0.921875
473,0.568544,0.898438,0.953125
474,0.572773,0.882812,0.960938
475,0.572784,0.859375,0.945312
476,0.570045,0.890625,0.937500
477,0.568051,0.812500,0.929688
478,0.569450,0.867188,0.929688
479,0.573710,0.851562,0.937500
480,0.573630,0.835938,0.953125
481,0.566149,0.906250,0.953125
482,0.571233,0.867188,0.945312
483,0.563927,0.929688,0.960938
484,0.561989,0.851562,0.921875
485,0.572399,0.835938,0.937500
486,0.566025,0.828125,0.914062
487,0.578379,0.875000,0.968750
488,0.570205,0.843750,0.953125
489,0.559253,0.796875,0.929688
490,0.570810,0.828125,0.921875
491,0.564271,0.820312,0.953125
492,0.571825,0.812500,0.929688
493,0.580989,0.804688,0.875000
494,0.565449,0.820312,0.914062
495,0.568729,0.875000,0.937500
496,0.565908,0.875000,0.960938
497,0.561360,0.859375,0.937500
498,0.577092,0.867188,0.945312
499,0.579777,0.859375,0.937500
500,0.570348,0.867188,0.953125
501,0.571786,0.796875,0.914062
502,0.576709,0.875000,0.953125
503,0.578334,0.828125,0.945312
504,0.574325,0.875000,0.953125
505,0.561919,0.875000,0.937500
506,0.571223,0.835938,0.921875
507,0.566693,0.875000,0.953125
508,0.577586,0.820312,0.960938
509,0.571383,0.835938,0.914062
510,0.570357,0.843750,0.929688
511,0.573492,0.859375,0.945312
512,0.579956,0.867188,0.937500
513,0.574748,0.843750,0.953125
514,0.578246,0.851562,0.945312
515,0.573489,0.828125,0.906250
516,0.570992,0.843750,0.945312
517,0.572340,0.812500,0.929688
518,0.572498,0.914062,0.945312
519,0.577689,0.781250,0.898438
520,0.568152,0.773438,0.921875
521,0.573925,0.789062,0.921875
522,0.571811,0.914062,0.945312
523,0.577530,0.882812,0.921875
524,0.575140,0.867188,0.945312
525,0.575252,0.875000,0.921875
526,0.567169,0.867188,0.929688
527,0.577546,0.828125,0.945312
528,0.576295,0.804688,0.914062
529,0.575109,0.828125,0.921875
530,0.581215,0.867188,0.937500
531,0.578392,0.812500,0.937500
532,0.573452,0.898438,0.984375
533,0.582290,0.851562,0.921875
534,0.575891,0.789062,0.906250
535,0.567991,0.796875,0.945312
536,0.575816,0.843750,0.945312
537,0.570579,0.835938,0.945312
538,0.567544,0.835938,0.898438
539,0.573378,0.781250,0.929688
