step,mean_reward,valid_rate
368,0.244159,0.843750
369,0.236899,0.781250
370,0.240760,0.890625
371,0.242592,0.875000
372,0.243194,0.867188
373,0.240545,0.898438
374,0.247710,0.875000
375,0.238178,0.906250
376,0.237084,0.843750
377,0.236324,0.882812
378,0.243125,0.835938
379,0.243314,0.867188
380,0.246016,0.890625
381,0.237592,0.851562
382,0.244223,0.875000
383,0.240830,0.851562
384,0.249115,0.820312
385,0.252198,0.890625
386,0.241259,0.843750
387,0.247428,0.820312
388,0.236294,0.773438
389,0.243067,0.835938
390,0.250881,0.859375
391,0.241188,0.789062
392,0.241072,0.867188
393,0.244766,0.843750
394,0.241732,0.867188
395,0.242800,0.804688
396,0.258575,0.828125
397,0.233604,0.906250
398,0.251189,0.843750
399,0.248230,0.835938
400,0.244150,0.859375
401,0.249976,0.804688
402,0.239416,0.820312
403,0.247064,0.835938
404,0.248621,0.898438
405,0.250815,0.796875
406,0.242236,0.851562
407,0.244739,0.859375
408,0.231623,0.773438
409,0.251602,0.867188
410,0.248597,0.921875
411,0.249330,0.875000
412,0.244884,0.851562
413,0.241851,0.804688
414,0.244477,0.796875
415,0.245134,0.875000
416,0.257955,0.898438
417,0.237164,0.812500
418,0.242327,0.804688
419,0.245975,0.820312
420,0.251467,0.843750
421,0.257903,0.812500
422,0.242557,0.851562
423,0.251261,0.765625
424,0.250294,0.875000
425,0.234040,0.882812
426,0.246498,0.843750
427,0.240262,0.812500
428,0.242198,0.835938
429,0.252027,0.750000
430,0.244836,0.796875
431,0.252786,0.835938
432,0.249782,0.851562
433,0.252288,0.835938
434,0.245688,0.835938
435,0.252849,0.875000
436,0.248382,0.843750
437,0.244971,0.781250
438,0.243047,0.843750
439,0.245740,0.851562
440,0.240684,0.843750
441,0.251002,0.835938
442,0.252912,0.804688
443,0.246613,0.851562
444,0.256914,0.859375
445,0.251630,0.828125
446,0.237893,0.804688
447,0.251185,0.796875
448,0.253299,0.835938
449,0.245129,0.710938
450,0.251731,0.828125
451,0.252077,0.820312
452,0.239437,0.859375
453,0.250639,0.757812
454,0.253774,0.835938
455,0.248577,0.765625
456,0.247337,0.789062
457,0.252049,0.812500
458,0.253327,0.835938
459,0.247920,0.781250
460,0.252997,0.804688
461,0.242687,0.804688
462,0.247659,0.812500
463,0.255957,0.757812
464,0.255542,0.820312
465,0.250010,0.796875
466,0.252335,0.765625
467,0.255514,0.820312
468,0.249648,0.789062
469,0.243804,0.765625
470,0.255118,0.812500
471,0.249525,0.796875
472,0.246018,0.812500
473,0.244188,0.789062
474,0.244066,0.875000
475,0.259576,0.796875
476,0.257961,0.765625
477,0.242806,0.875000
478,0.252144,0.781250
479,0.253770,0.773438
480,0.250287,0.773438
481,0.236402,0.773438
482,0.263270,0.765625
483,0.247708,0.828125
484,0.254479,0.781250
485,0.248580,0.820312
486,0.256745,0.867188
487,0.249089,0.804688
488,0.239737,0.789062
489,0.263338,0.812500
490,0.248365,0.796875
491,0.256748,0.812500
492,0.246595,0.828125
493,0.247611,0.765625
494,0.252613,0.804688
495,0.244682,0.812500
496,0.257704,0.757812
497,0.254856,0.820312
498,0.260676,0.742188
499,0.253952,0.828125
500,0.244680,0.843750
501,0.253354,0.773438
502,0.250857,0.757812
503,0.246032,0.781250
504,0.259903,0.812500
505,0.248984,0.789062
506,0.262273,0.843750
507,0.255873,0.828125
508,0.245394,0.765625
509,0.260941,0.820312
510,0.268030,0.773438
511,0.247047,0.773438
512,0.245172,0.812500
513,0.246222,0.781250
514,0.247947,0.804688
515,0.262415,0.750000
516,0.264016,0.789062
517,0.258488,0.843750
518,0.258231,0.804688
519,0.250939,0.734375
520,0.259309,0.687500
521,0.252251,0.796875
522,0.254689,0.828125
523,0.265641,0.765625
524,0.261531,0.765625
525,0.254990,0.773438
526,0.258366,0.750000
527,0.259198,0.734375
528,0.258699,0.812500
529,0.263459,0.781250
530,0.261087,0.828125
531,0.246623,0.765625
532,0.253437,0.789062
533,0.251618,0.734375
534,0.271456,0.773438
535,0.261362,0.781250
536,0.246606,0.835938
537,0.258301,0.757812
538,0.261693,0.734375
539,0.260229,0.718750
540,0.254570,0.781250
541,0.259273,0.726562
542,0.252210,0.742188
543,0.261757,0.789062
544,0.253566,0.773438
545,0.255989,0.765625
546,0.259959,0.718750
547,0.250940,0.718750
548,0.254916,0.710938
549,0.257610,0.820312
550,0.249122,0.726562
551,0.259888,0.718750
552,0.262046,0.789062
553,0.255782,0.664062
554,0.248812,0.687500
555,0.264710,0.750000
556,0.259365,0.781250
557,0.255876,0.679688
558,0.256044,0.757812
559,0.265254,0.773438
560,0.257104,0.781250
561,0.258931,0.757812
562,0.257302,0.812500
563,0.248231,0.750000
564,0.251736,0.710938
565,0.257582,0.718750
566,0.257999,0.742188
567,0.254532,0.757812
568,0.261102,0.773438
569,0.258532,0.765625
570,0.265389,0.742188
571,0.266058,0.812500
572,0.263367,0.726562
573,0.264795,0.773438
574,0.263309,0.773438
575,0.256097,0.742188
576,0.264743,0.804688
577,0.268907,0.710938
578,0.266440,0.726562
579,0.262499,0.726562
580,0.275261,0.804688
581,0.263026,0.773438
582,0.262335,0.804688
583,0.271688,0.718750
584,0.264066,0.742188
585,0.253992,0.765625
586,0.256688,0.789062
587,0.269171,0.750000
588,0.258959,0.726562
589,0.257027,0.796875
590,0.257540,0.664062
591,0.258535,0.757812
592,0.258933,0.765625
593,0.257080,0.734375
594,0.258180,0.726562
595,0.266460,0.742188
596,0.258911,0.750000
597,0.258251,0.687500
598,0.266483,0.695312
599,0.269522,0.773438
600,0.262484,0.718750
601,0.269347,0.742188
602,0.264867,0.781250
603,0.261738,0.734375
604,0.274024,0.742188
605,0.277459,0.765625
606,0.264897,0.695312
607,0.260561,0.789062
608,0.256684,0.703125
609,0.263358,0.851562
610,0.263895,0.695312
611,0.263487,0.671875
612,0.259706,0.750000
613,0.272940,0.750000
614,0.260628,0.734375
615,0.269760,0.742188
616,0.263270,0.742188
617,0.268814,0.742188
618,0.258386,0.757812
619,0.269912,0.648438
620,0.283063,0.687500
621,0.255938,0.765625
622,0.266743,0.742188
623,0.270056,0.710938
624,0.272234,0.671875
625,0.264127,0.757812
626,0.276807,0.648438
627,0.272974,0.664062
628,0.265734,0.726562
629,0.278412,0.648438
630,0.274039,0.703125
631,0.263407,0.734375
632,0.266855,0.796875
633,0.269420,0.765625
634,0.265493,0.695312
635,0.266753,0.679688
636,0.277106,0.757812
637,0.277199,0.687500
638,0.267838,0.734375
639,0.256347,0.710938
640,0.274106,0.734375
641,0.265701,0.734375
642,0.287982,0.671875
643,0.270704,0.757812
644,0.262163,0.695312
645,0.266154,0.718750
646,0.271369,0.781250
647,0.279455,0.734375
648,0.276557,0.726562
649,0.267233,0.718750
650,0.274648,0.687500
651,0.270641,0.703125
652,0.272496,0.703125
653,0.269709,0.781250
654,0.272622,0.679688
655,0.274114,0.710938
656,0.271803,0.664062
657,0.278228,0.742188
658,0.275656,0.687500
659,0.259018,0.703125
660,0.276397,0.718750
661,0.280176,0.687500
662,0.266828,0.750000
663,0.270430,0.710938
664,0.269276,0.648438
665,0.267771,0.750000
666,0.273392,0.750000
667,0.281101,0.695312
668,0.269420,0.703125
669,0.278470,0.703125
670,0.275297,0.679688
671,0.271511,0.695312
672,0.283063,0.734375
673,0.266629,0.687500
674,0.269422,0.742188
675,0.271104,0.773438
676,0.283793,0.656250
677,0.267411,0.734375
678,0.266623,0.757812
679,0.264320,0.765625
680,0.275202,0.750000
681,0.287664,0.734375
682,0.278397,0.765625
683,0.281458,0.695312
684,0.282882,0.679688
685,0.280069,0.703125
686,0.271796,0.703125
687,0.263621,0.632812
688,0.277405,0.750000
689,0.266599,0.710938
690,0.276895,0.703125
691,0.275059,0.820312
692,0.278626,0.687500
693,0.272037,0.687500
694,0.280884,0.695312
695,0.281803,0.695312
696,0.279079,0.710938
697,0.275621,0.718750
698,0.267551,0.773438
699,0.267832,0.703125
700,0.292469,0.742188
701,0.276542,0.750000
702,0.271895,0.703125
703,0.274938,0.695312
704,0.284061,0.734375
705,0.296985,0.640625
706,0.279760,0.656250
707,0.273799,0.687500
708,0.284544,0.710938
709,0.269979,0.750000
710,0.284460,0.703125
711,0.292342,0.648438
712,0.291688,0.765625
713,0.280079,0.750000
714,0.275052,0.671875
715,0.284243,0.734375
716,0.284255,0.656250
717,0.276438,0.726562
718,0.274938,0.664062
719,0.281823,0.695312
720,0.280311,0.632812
721,0.282030,0.656250
722,0.282215,0.671875
723,0.284330,0.640625
724,0.285642,0.695312
725,0.291742,0.742188
726,0.281268,0.750000
727,0.281087,0.671875
728,0.286952,0.734375
729,0.295393,0.734375
730,0.283863,0.679688
731,0.290856,0.726562
732,0.299556,0.718750
733,0.285875,0.687500
734,0.285412,0.656250
735,0.295663,0.734375
736,0.279798,0.765625
737,0.279139,0.718750
738,0.304617,0.726562
739,0.283940,0.695312
740,0.284189,0.750000
741,0.301573,0.765625
742,0.298733,0.695312
743,0.285653,0.648438
744,0.287443,0.687500
745,0.294347,0.695312
746,0.310913,0.695312
747,0.288176,0.671875
748,0.293953,0.703125
749,0.282269,0.656250
750,0.275836,0.750000
751,0.310630,0.781250
752,0.295262,0.718750
753,0.290944,0.742188
754,0.306487,0.718750
755,0.277620,0.671875
756,0.291256,0.734375
757,0.297327,0.640625
758,0.291010,0.687500
759,0.298752,0.718750
760,0.303465,0.625000
761,0.295679,0.687500
762,0.303000,0.679688
763,0.308193,0.695312
764,0.304951,0.648438
765,0.288275,0.781250
766,0.294570,0.710938
767,0.303870,0.710938
768,0.304205,0.742188
769,0.293278,0.742188
770,0.293308,0.695312
771,0.286153,0.726562
772,0.287559,0.757812
773,0.279518,0.656250
774,0.314353,0.742188
775,0.299867,0.695312
776,0.313032,0.687500
777,0.302971,0.703125
778,0.297555,0.718750
779,0.304489,0.687500
780,0.306266,0.687500
781,0.290752,0.734375
782,0.302790,0.671875
783,0.320214,0.781250
784,0.311923,0.718750
785,0.304158,0.750000
786,0.305614,0.640625
787,0.308360,0.726562
788,0.303296,0.679688
789,0.320463,0.765625
790,0.299391,0.679688
791,0.306160,0.726562
792,0.317636,0.664062
793,0.306017,0.781250
794,0.301906,0.773438
795,0.313476,0.726562
796,0.306577,0.789062
797,0.320734,0.781250
798,0.304197,0.679688
799,0.304272,0.804688
800,0.318262,0.742188
801,0.295816,0.710938
802,0.311066,0.656250
803,0.310440,0.710938
804,0.295212,0.656250
805,0.314164,0.687500
806,0.321743,0.734375
807,0.310352,0.726562
808,0.302229,0.703125
809,0.306948,0.718750
810,0.306282,0.742188
811,0.306864,0.640625
812,0.309205,0.789062
813,0.308801,0.710938
814,0.319940,0.750000
815,0.318640,0.695312
816,0.317189,0.726562
817,0.320918,0.734375
818,0.331661,0.757812
819,0.329822,0.687500
820,0.317924,0.695312
821,0.310400,0.734375
822,0.319483,0.679688
823,0.316706,0.718750
