step,mean_reward,valid_rate,triazole_rate
643,0.770408,0.984375,0.992188
644,0.770439,1.000000,1.000000
645,0.770436,1.000000,1.000000
646,0.770529,0.992188,0.992188
647,0.770544,1.000000,1.000000
648,0.770684,0.968750,0.984375
649,0.770762,0.992188,1.000000
650,0.770581,0.984375,1.000000
651,0.770498,0.984375,0.984375
652,0.770678,1.000000,1.000000
653,0.769182,1.000000,1.000000
654,0.770770,0.992188,0.992188
655,0.770791,0.992188,0.992188
656,0.770929,0.976562,0.984375
657,0.771030,0.984375,0.984375
658,0.770999,0.992188,0.992188
659,0.771052,1.000000,1.000000
660,0.769461,0.992188,1.000000
661,0.770849,0.992188,0.992188
662,0.771150,0.992188,0.992188
663,0.768984,0.984375,0.984375
664,0.771052,1.000000,1.000000
665,0.771151,1.000000,1.000000
666,0.771368,0.992188,0.992188
667,0.769721,0.976562,0.984375
668,0.771356,0.976562,0.976562
669,0.771506,0.984375,0.992188
670,0.769867,0.984375,0.984375
671,0.770103,0.976562,0.984375
672,0.771704,0.976562,0.984375
673,0.771517,1.000000,1.000000
674,0.771577,0.992188,0.992188
675,0.771750,0.984375,0.992188
676,0.771734,0.976562,0.976562
677,0.770050,0.976562,0.976562
678,0.771717,0.984375,1.000000
679,0.771829,0.992188,0.992188
680,0.769924,1.000000,1.000000
681,0.771971,0.976562,0.984375
682,0.771919,0.984375,0.984375
683,0.772091,1.000000,1.000000
684,0.771993,1.000000,1.000000
685,0.772097,1.000000,1.000000
686,0.772173,0.984375,0.984375
687,0.770151,0.984375,0.984375
688,0.772243,1.000000,1.000000
689,0.772210,0.968750,0.968750
690,0.770595,0.976562,0.984375
691,0.772339,0.984375,0.984375
692,0.772314,0.992188,1.000000
693,0.772491,1.000000,1.000000
694,0.770170,0.992188,0.992188
695,0.772585,0.992188,1.000000
696,0.772646,1.000000,1.000000
697,0.772836,0.984375,0.984375
698,0.770648,0.976562,0.976562
699,0.772782,0.984375,0.984375
700,0.772747,0.992188,1.000000
701,0.772722,0.984375,0.984375
702,0.772711,0.984375,0.984375
703,0.770721,0.992188,0.992188
704,0.772648,0.984375,0.984375
705,0.772461,1.000000,1.000000
706,0.772904,0.984375,0.984375
707,0.773034,0.984375,0.984375
708,0.772934,1.000000,1.000000
709,0.773109,0.992188,1.000000
710,0.772994,0.992188,0.992188
711,0.773059,0.992188,0.992188
712,0.773102,0.984375,0.992188
713,0.773179,0.984375,0.984375
714,0.773031,1.000000,1.000000
715,0.773107,0.992188,0.992188
716,0.773122,0.992188,0.992188
717,0.773510,0.984375,0.984375
718,0.773485,0.984375,0.992188
719,0.773315,0.992188,0.992188
720,0.773483,1.000000,1.000000
721,0.773438,1.000000,1.000000
722,0.771663,0.992188,0.992188
723,0.773694,0.984375,0.984375
724,0.773709,1.000000,1.000000
725,0.773839,0.992188,0.992188
726,0.773786,0.984375,0.984375
