smiles,aureus_MIC,aureus_logMIC,n,pos,FEAT_COMPACT_0,FEAT_COMPACT_1,FEAT_COMPACT_2,FEAT_COMPACT_3,FEAT_COMPACT_4,FEAT_COMPACT_5,FEAT_COMPACT_6,FEAT_COMPACT_7,FEAT_COMPACT_8,FEAT_COMPACT_9,FEAT_COMPACT_10,FEAT_COMPACT_11,FEAT_COMPACT_12,FEAT_COMPACT_13,FEAT_COMPACT_14,FEAT_COMPACT_15,FEAT_COMPACT_16,FEAT_COMPACT_17,FEAT_COMPACT_18,FEAT_COMPACT_19,FEAT_COMPACT_20,FEAT_COMPACT_21,FEAT_COMPACT_22,FEAT_COMPACT_23,FEAT_COMPACT_24,FEAT_COMPACT_25,FEAT_COMPACT_26,FEAT_COMPACT_27,FEAT_COMPACT_28,FEAT_COMPACT_29,FEAT_COMPACT_30,FEAT_COMPACT_31
S=C1N(N)C(C2=CC=CC=C2)=NN1,4302.0,3.633670406051444,1,0,-10.271315568616016,-7.603889379123041,28.043170832713287,16.226855067694398,-14.15754323677353,4.878284684214403,4.193014544953907,-3.0679324418546936,0.5020521303534747,-7.84892354078294,-1.6076895295760107,0.8167989354087132,1.5232025253301307,0.7901786477620663,-5.2710817142869635,-2.812306978136972,-2.858948356528316,-9.79695434457847,2.047742716023131,13.813156139531474,-5.567761130587825,-3.7346783817154527,1.197794766033901,9.613167318604795,-14.893997433106424,9.478263267184097,-9.210913621638625,4.429976371648775,-1.303240903222117,6.136720361786993,0.38168604488735386,-0.8200083449747214
S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,2176.0,3.3376588910261424,2,0,-7.647664544861166,-10.762140779625524,28.043585928512933,13.39529908934816,-11.566907913586135,-3.555695708889169,1.232971683841868,-3.1066978106137104,-1.611260914429724,-7.509300916096964,-2.505968728369632,-0.0448926100630253,1.2492313102086448,0.7698747513820032,-3.3301137716148284,-6.102115873537878,-1.710019716281517,-10.06042485624368,-3.1866239805723446,19.57190992164735,-3.384374334987942,-1.4446662346213657,-1.7116825246185123,6.740441819911099,-11.776532831188522,5.273543724963383,-8.009334278867362,-0.7250424085819115,1.5651756120580866,1.7022692615221358,2.9976167032146734,-2.939772315398026
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,977.0,2.989894563718773,2,0,-5.374404132554982,-11.667939510023425,24.382930791668397,14.176329935914309,-10.70031520470452,-5.932768042510386,1.211968654738494,-4.090219819097288,-3.3003101202860727,-3.6137409323004857,-3.348366848999191,0.10558515436066647,-1.0067922402534097,-0.9370114852473328,-2.880608556767074,-4.151755504712465,0.3757017650900327,-9.144305473255152,-5.545178419273444,16.659736192114515,-0.840150901413509,0.317354851474475,-6.742736071719093,4.160210367077718,-10.02363034874573,3.117914521145542,-12.39623527817957,0.17514660736579066,2.9368966710547713,2.915372921384033,1.8112586813132217,-2.233157094244759
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,1757.0,3.244771761495295,1,0,-8.948451802381626,-10.697044855977484,25.807041673967205,12.586709178502417,-10.860143354731125,-3.674458548057379,-0.34174836662066543,-4.08487471705819,-1.305960890629502,-7.198296812010647,-1.5607166013944136,1.0136071465280243,0.13133354507544753,-0.918757003173186,-3.89833186576784,-4.714565276318843,-0.20496799446721448,-10.18359034857272,-2.747593264422687,19.2580376694858,-3.5620306243714372,-2.4533976937987463,-1.3829295689053196,8.101188785953784,-15.397328458076194,7.580822384341136,-8.546296044083,1.4558627073833703,1.7312406361897488,5.529173273756865,3.720023885751663,-3.260288943619258
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,1425.0,3.153814864344529,1,0,-7.664735721461397,-12.175137568850047,25.99123599345009,12.480960189819577,-12.185657249415035,-0.4069675437531381,0.4042691356155643,-3.33401723296817,-2.0445253873935423,-7.798196442716476,-3.272711641905734,1.170540367825061,1.6290009765089866,-0.5015798877296572,-4.421250669988996,-5.901132704648308,-0.020839440189308805,-10.586626290919627,-2.8426775304965926,19.384186707048137,-3.9997974153700784,-2.3019907416192664,-2.1871532950297645,7.183977413783466,-12.658039367194247,5.948630816698851,-7.960681171772803,0.34937162379588493,2.279059262608983,3.6761449562202206,2.6504343647649304,-2.32613197942414
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CC=C3,1555.0,3.191730393362856,3,0,-2.3044686716411014,-20.051301696910254,-7.134151702092173,31.46926991804604,15.896891175104427,1.0014579314253467,1.3827101157018336,-6.432110979426789,0.683877746541928,-0.7865746167459438,-0.8543085098760257,-1.578977889929111,-5.588071923261153,0.8249685999850351,3.0509613067933596,-3.4955743075375585,-7.030020451671317,3.3260868367057745,4.617203866618615,3.630588044515618,-12.52875454030794,-0.5124718560206436,19.636936118494052,10.246843900119108,1.2336918860189778,-2.4470616717574787,10.578416088160083,-3.75415296430538,-4.03324181136133,-5.1378086116048225,0.1339512341102036,-2.2308456365711438
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C(OC)C=C3,1039.0,3.016615547557177,3,0,-3.753228848231141,-17.741120669979402,-8.962988088621644,29.949111511406766,14.576052827024961,0.1462385390731656,-0.3879645011064182,-4.831571546672403,0.7994092113884563,1.0070630478439515,-2.7582859808655535,-2.4191510123873963,-5.89027440864797,1.7868981557408854,3.1076120643134684,-2.2813287387643055,-7.468745037304822,3.4768920971849693,3.2864864540931578,3.229773033742746,-11.704038643218972,-0.9583622461209421,18.918379985125288,8.301541864549522,2.868148384055079,-2.5623528077604423,11.558935225257832,-5.3631587581617115,-4.588210150441988,-5.9195406280345075,0.11547290809138475,-2.4954108418263723
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C([N+]([O-])=O)C=C3,848.0,2.9283958522567137,3,0,-0.6478397971793988,-20.533019662870075,-9.088709674451108,31.33902868971293,15.510124256771428,-2.260833271671851,1.2972208997294365,-7.384145744960047,-1.246144825463938,2.1737901125967474,-1.7792354947602296,-1.105918588836611,-7.726370924038096,-0.9260202146627117,3.612529208515869,-1.2920845036874602,-5.001545560802292,3.3662275935172166,2.428993182626062,1.7010080740264493,-9.923658575419637,0.925558586828493,13.289737189405692,7.615230954548943,1.8021355760957023,-3.962282047795237,4.91708818333544,-2.325503391855998,-2.5214488035324303,-3.450261568170016,-0.19274885511496467,-2.1889750556462673
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,1518.0,3.1812717715594614,1,0,-3.0184219265331755,-20.466204938437468,-7.560087944444066,29.191724222274342,17.16034263109791,-0.5729834737529125,-0.2379073165309938,-6.66432280480041,0.10848957925850185,-0.20462373043803322,-0.47201922755403625,-0.763682486783369,-6.533312377474989,-0.7693591415687486,3.196335433306883,-2.514548328615166,-5.345736382903568,4.1110513594736275,4.25960797809385,3.4416210648463954,-11.043712511272936,-1.196185691285916,20.1278760416603,10.876297010752763,-0.9363890130799273,-1.5279666455391474,9.9332154214101,-2.8073691051532625,-3.8152509841866857,-2.290353855303724,0.9500239526547503,-2.4827609660538132
C#CCSC1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,1279.0,3.106870544478654,1,0,-1.9469820223396124,-20.89672434658727,-7.500578060058945,29.045868353593765,16.452806270442633,2.2046210379477214,0.5814473075335772,-6.445408792723898,0.8316688092938718,-0.5015525753307216,-0.9500107920682574,-1.381024250652463,-5.5768709483065155,0.5208133642058322,2.533456857149695,-3.2856290421976184,-5.9586865954353,3.2279965436855345,4.21056702421553,4.171728193356832,-12.27055485518332,-0.1884133267886249,18.14528376044426,9.029450428140672,1.2876931616522567,-2.5416568051250215,11.8356396071281,-3.255873798528299,-3.429069815295271,-4.413839957442398,0.002484003794175333,-1.3631004271217424
O=[N+](C(C=C1)=CC=C1N2N=NC(CSC3N(C(C4=CC=CC=C4)=NN3)/N=C/C5=CC=CC=C5)=C2)[O-],539.0,2.7315887651867388,6,0,-6.266663558467259,-18.565406571557915,-23.099764064762017,20.11693463987492,12.849530715543375,-8.098710193387356,1.2279415459281329,-9.765496057279575,-12.70051278125019,-1.728191698154882,-3.8916016005710667,1.1961013554225361,-9.056261554397397,-0.017263120405521363,1.9002524619540064,-0.0009391272908491592,-1.3197863972781085,0.06483853972309836,-1.7950511006126462,-0.7472213909154279,2.263132348352647,0.15394402307728478,-4.039622542873949,-3.3393183412434055,-0.05750548268356936,0.2765715611533143,-3.03707083272517,1.8239811119067055,2.6182861827486485,0.4796886033430948,0.0883953576805381,0.28404679131986676
