smiles,toxicity_label,n,counts_json
CN(C)CCN1C(=O)C2=CC=C(N3C=C(CSC(=S)N(C4CCN(C5=CC=CC=C5)CC4)N4CCN(C5=CC=CC=C5)CC4)N=N3)C3=CC=CC(=C23)C1=O,中毒,1,"{""中毒"": 1}"
S=C1NN=C(C2=CC=CS2)N1C3=CC=C(F)C=C3,高毒,2,"{""高毒"": 2}"
S=C1NN=C(C2=CC=C(Br)S2)N1C3=CC=C(Br)C=C3,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCOCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCSCC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4Br,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCN(C)CC2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,1,"{""高毒"": 1}"
S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5Br,高毒,2,"{""高毒"": 2}"
FC1=CC(Br)=C(N2C(N(CN3CCN(C4=CC=CC=C4OC)CC3)N=C2C5=CC=CS5)=S)C=C1,高毒,2,"{""高毒"": 2}"
S=C1N(CN2CCC(C3=CC=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,高毒,1,"{""高毒"": 1}"
S=C1N(CN2CC3=C(C=CC=C3)CC2)N=C(C4=CC=CS4)N1C5=CC=C(F)C=C5,高毒,1,"{""高毒"": 1}"
S=C1N(CN(C)C2=CC=CC=C2)N=C(C3=CC=CS3)N1C4=CC=C(F)C=C4,高毒,1,"{""高毒"": 1}"
S=C1N(N)C(C2=CC=CC=C2)=NN1,低毒,1,"{""低毒"": 1}"
S=C1N(/N=C/C2=CC=CC=C2)C(C3=CC=CC=C3)=NN1,低毒,2,"{""低毒"": 2}"
O=[N+]([O-])C1=CC=C(/C=N/N2C(=S)NN=C2C2=CC=CC=C2)C=C1,低毒,2,"{""低毒"": 2}"
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=CO3,低毒,1,"{""低毒"": 1}"
S=C1N(C(C2=CC=CC=C2)=NN1)/N=C/C3=CC=C[s]3,低毒,1,"{""低毒"": 1}"
