SMILES,MIC,logMIC,is_active_<25,scaffold
[H]C1=CC(CN2C=C(N=N2)COC(C(C=CC=C3)=C3O4)=CC4=O)=CC=C1[N+]([O-])=O,8.0,0.9030899869919435,1,O=c1cc(OCc2cn(Cc3ccccc3)nn2)c2ccccc2o1
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C([N+]([O-])=O)=C4)=C1,8.0,0.9030899869919435,1,O=c1cc(OCc2cn(Cc3ccccc3)nn2)c2ccccc2o1
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Cl)C([H])=C4)=C1,16.0,1.2041199826559248,1,O=c1cc(OCc2cn(Cc3ccccc3)nn2)c2ccccc2o1
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C(Cl)=C4)=C1,8.0,0.9030899869919435,1,O=c1cc(OCc2cn(Cc3ccccc3)nn2)c2ccccc2o1
O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Br)C([H])=C4)=C1,16.0,1.2041199826559248,1,O=c1cc(OCc2cn(Cc3ccccc3)nn2)c2ccccc2o1
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=C(C=CC=C5)C5=CC=C4,250.0,2.3979400086720375,0,c1ccc2c(-n3cc(COc4ccc5c(c4)CCCO5)nn3)cccc2c1
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(SC=N5)=C5C=C4,650.0,2.8129133566428557,0,c1nc2ccc(-n3cc(COc4ccc5c(c4)CCCO5)nn3)cc2s1
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CN=C(C=CC=C5)C5=C4,240.0,2.380211241711606,0,c1ccc2ncc(-n3cc(COc4ccc5c(c4)CCCO5)nn3)cc2c1
CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(C4=NNC=C4)N=N3,190.0,2.278753600952829,0,c1cc(-n2cc(COc3ccc4c(c3)CCCO4)nn2)n[nH]1
NN1C(C2=CNC3=CC=CC=C23)=NN=C1SCCSC4=NN=C(C5=C(C=CC=C6)C6=CC=C5)O4,64.0,1.806179973983887,0,c1ccc2c(-c3nnc(SCCSc4nnc(-c5c[nH]c6ccccc56)[nH]4)o3)cccc2c1
