SMILES,Ecoli_MIC_ugmL,Ecoli_logMIC
NN1C(SCCSC2=NN=C(O2)C3=CC=CC(OC)=C3)=NN=C1C4=CNC5=CC=CC=C45,8,0.903089987
O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)[N+]([O-])=O)C6=C1C=CC=C6)OC,8,0.903089987
O=C(C1=CC=C(C)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,50,1.698970004
O=C(C1=CC=C(F)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,12.5,1.096910013
O=C(C1=CC=C([H])C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,50,1.698970004
O=C(C1=CC=C([N+]([O-])=O)C=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,50,1.698970004
O=C(C1=CC=CN=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,50,1.698970004
O=C(C1=CC=NC=C1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,100,2
O=C(C1=CC=NC=N1)N/N=C/C2=CC3=C(C=C2)N(CC4NNN(C5=CC=C(C#N)C=C5)C4)C6=CC(C(F)(F)F)=CC=C6S3,50,1.698970004
O=C(C1=NC=CN=C1)N/N=C/C2=CC=C3N(CC4=CN(CC5=CC=C(C#N)C=C5)N=N4)C6=C(C=CC(C(F)(F)F)=C6)SC3=C2,50,1.698970004
O=C(C1=NC=CN=C1)N/N=C/C2=CC=C3N(CC4=CN(CC5=CC=C(C#N)C=C5)N=N4)C6=C(C=CC=C6)SC3=C2,50,1.698970004
O=C(CNN1C(=O)CSC1C1=C(Cl)C=CC=C1)NN1C(C2=CC=C([N+](=O)[O-])C=C2)=NN[C@@H]1S,12.5,1.096910013
O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,25,1.397940009
O=C(CNN1C(=O)CSC1C1=CC=CC=C1Cl)NN1C(C2=CC=NC=C2)=NNC1S,12.5,1.096910013
