,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
5c,S=C1N(CN2CCNCC2)N=C(C3CCCCC3)N1C4=CC=C(Cl)C=C4,S=C1N(CN2CCNCC2)N=C(C3CCCCC3)N1C4=CC=C(Cl)C=C4,,125,125,125,62.6,125,,,,,低毒,,,,,
6a,S=C1N(CN2CCCC2)N=C(C2=CC=CN=C2)N1C1=CC=CC=C1,S=C1N(CN2CCCC2)N=C(C2=CC=CN=C2)N1C1=CC=CC=C1,,500,500,500,500,500,1000,500,500,1000,低毒,,,,,
6b,S=C1N(CN2CCCCC2)N=C(C3=CC=CN=C3)N1C4=CC=CC=C4,S=C1N(CN2CCCCC2)N=C(C3=CC=CN=C3)N1C4=CC=CC=C4,,500,500,500,500,500,1000,250,500,1000,低毒,,,,,
6e,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CN=C4)N1C5=CC=CC=C5,S=C1N(CN2CCN(C3=CC=CC=C3)CC2)N=C(C4=CC=CN=C4)N1C5=CC=CC=C5,,500,500,500,500,500,1000,500,500,1000,低毒,,,,,
2808,,,,S. aureus,B. subtilis,,,,E. coli,P. aeruginosa,,,,"Journal of Chemical Research, 413-416",,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(O)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(O)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8a 3-HO-C6H4,>128,>128,,,,>128,>128,,,中毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Br)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Br)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8b 4-Br-C6H4,8,16,,,,16,8,,,高毒,,,,,
,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)[N+]([O-])=O)C6=C1C=CC=C6)OC,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)[N+]([O-])=O)C6=C1C=CC=C6)OC,8c 4-NO2-C6H4,8,8,,,,8,8,,,高毒,,,,,
,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)O)C6=C1C=CC=C6)OC,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)O)C6=C1C=CC=C6)OC,8d 4-HO-C6H4,>128,>128,,,,>128,>128,,,中毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(F)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(F)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8e 4-F-C6H4,8,8,,,,4,8,,,高毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4Cl)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4Cl)=NN=C3C5=CC=CC6=CC=CC=C65,8f 2-Cl-C6H4,8,8,,,,8,4,,,高毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CO4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CO4)=NN=C3C5=CC=CC6=CC=CC=C65,8g 2-furyl,64,>128,,,,32,>128,,,中毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Cl)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=C(Cl)C=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8h 4-Cl-C6H4,16,8,,,,16,4,,,高毒,,,,,
,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)OC)C6=C1C=CC=C6)OC,O=C(C1=CC(CCCC2=NN=C(C3=CC=CC4=CC=CC=C43)N2/N=C/C5=CC=C(C=C5)OC)C6=C1C=CC=C6)OC,8i 4-CH3O-C6H4,64,>128,,,,>128,32,,,中毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4O)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4O)=NN=C3C5=CC=CC6=CC=CC=C65,8j 2-HO-C6H4,>128,>128,,,,>128,>128,,,中毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(F)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC(F)=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8k 3-F-C6H4,4,8,,,,8,4,,,高毒,,,,,
,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4)=NN=C3C5=CC=CC6=CC=CC=C65,O=C(OC)C1=CC(C2=C1C=CC=C2)CCCC(N3/N=C/C4=CC=CC=C4)=NN=C3C5=CC=CC6=CC=CC=C65,8l pheny,>128,>128,,,,>128,>128,,,中毒,,,,,
2810,,,,S. aureus,,,,,E. coli,P. aeruginosa,,,,"Journal of Chemical Research, 2014, 38(5): 300-303",,,,
,,,8b R = 4-FC6H4,32,,,,,/,32,,,中毒,,,,,
,,,"8d R= 2,4-F2C6H3",/,,,,,/,64,,,中毒,,,,,
,,,8f R= 4-ClC6H4,64,,,,,/,64,,,中毒,,,,,
,,,8h R = 2-BrC6H4,128,,,,,/,64,,,中毒,,,,,
2963,,,,S. aureus ,B. cereus,,,,E. coli ,P. aeruginosa,,,,"Biointerface Research in Applied Chemistry，Volume 12, Issue 1, 2022, 809 - 823",,,,
,CCN1C(SCC2=CC(=O)OC3=C(C)C=C(C)C=C23)=NN=C1C1=CC=CS1,CCN1C(SCC2=CC(=O)OC3=C(C)C=C(C)C=C23)=NN=C1C1=CC=CS1,,2.5,2.5,,,,2.5,2.5,,,低毒,,,,,
2134,,,,S.aureus,Micrococcus luteus,BC,,,E.Coli,PF,FD,,,"Med Chem Res,16,1519-9",,,,
,,,,,,,,,,,,,,,,,,
,O=[N+]([O-])C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],O=[N+]([O-])C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],"4a,R1 = H,R2 = NO2",8,4,4,,,2,0,16,,高毒,,,,,
,[H]C1=CC=C(C=C1[N+]([O-])=O)CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,[H]C1=CC=C(C=C1[N+]([O-])=O)CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,"4b,R1 = NO2,R2= H",8,16,4,,,4,2,8,,高毒,,,,,
,ClC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],ClC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],"4c,R1= H,R2= Cl",8,32,4,,,4,4,2,,高毒,,,,,
,[H]C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1Cl,[H]C1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1Cl,"4d,R1 = Cl,R2 = H",16,16,8,,,4,4,2,,高毒,,,,,
,BrC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],BrC1=CC=C(CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O)C=C1[H],"4e,R1 = H,R2= Br",16,16,4,,,4,128,4,,高毒,,,,,
,[H]C1=CC=C(C=C1[H])CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,[H]C1=CC=C(C=C1[H])CN2C=C(N=N2)COC3=CC4=C(C(C)=C3)C=CC(O4)=O,"4f,R1= H,R2= H",8,4,16,,,4,NT,4,,高毒,,,,,
,[H]C1=CC(CN2C=C(N=N2)COC(C(C=CC=C3)=C3O4)=CC4=O)=CC=C1[N+]([O-])=O,[H]C1=CC(CN2C=C(N=N2)COC(C(C=CC=C3)=C3O4)=CC4=O)=CC=C1[N+]([O-])=O,"4g,R1= H,R2= NO2",8,4,4,,,2,2,2,,高毒,,,,,
,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C([N+]([O-])=O)=C4)=C1,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C([N+]([O-])=O)=C4)=C1,"4h,R1= NO2,R2= H",8,4,4,,,4,4,32,,高毒,,,,,
,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Cl)C([H])=C4)=C1,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Cl)C([H])=C4)=C1,"4i,R1= H,R2= Cl",16,4,16,,,4,8,4,,高毒,,,,,
,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C(Cl)=C4)=C1,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C([H])C(Cl)=C4)=C1,"4j,R1 = Cl,R2 = H",8,4,32,,,4,128,16,,高毒,,,,,
,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Br)C([H])=C4)=C1,O=C1OC2=C(C=CC=C2)C(OCC(N=N3)=CN3CC4=CC=C(Br)C([H])=C4)=C1,"4k,R1= H,R2= Br",16,4,16,,,4,64,4,,高毒,,,,,
2135,,,,S.aureus,Micrococcus luteus,,,,E.Coli,Salmonella typhi,,,,Journal of the Iranian Chemical Society (2024): 1-10.,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=CC=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=CC=C4,,200 ± 14.384,150 ± 1.633,,,,370 ± 19.201,400 ± 21.602,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C([N+]([O-])=O)C=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C([N+]([O-])=O)C=C4,,200 ± 14.720,250 ± 0.943,,,,290 ± 4.082,300 ± 1.886,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C(OC)C=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC=C(OC)C=C4,,600 ± 7.409,200 ± 8.165,,,,400 ± 21.602,450 ± 12.130,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(O)=CC=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(O)=CC=C4,,170 ± 1.633,300 ± 1.886,,,,700 ± 16.330,600 ± 16.330,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=C(C=CC=C5)C5=CC=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=C(C=CC=C5)C5=CC=C4,,250 ± 7.364,210 ± 1.633,,,,150 ± 1.633,260 ± 8.165,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(SC=N5)=C5C=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CC(SC=N5)=C5C=C4,,650 ± 1.633,350 ± 26.411,,,,350 ± 8.380,460 ± 16.330,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CN=C(C=CC=C5)C5=C4,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(N=N3)C4=CN=C(C=CC=C5)C5=C4,,240 ± 11.776,370 ± 3.300,,,,200 ± 7.364,260 ± 7.760,,,中毒,,,,,
,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(C4=NNC=C4)N=N3,CC(C(CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O1)=C1C(C)=C2C)=C2OCC3=CN(C4=NNC=C4)N=N3,,190 ± 2.944,310 ± 8.994,,,,320 ± 4.083,390 ± 9.416,,,中毒,,,,,
2356,,,,S.aureus,Streptococcus pyogenes,,,,E.Coli,pseudomonas aeruginosa,,,, Archiv der Pharmazie 356.4 (2023): 2200545.,,,,
,,,"d1, R=H",241,482,,,,193,241,,,高毒,,,,,
,,,"d2,R=4-F",116,93,,,,47,186,,,高毒,,,,,
,,,"d3,R=4-CF3",213,107,,,,107,85,,,高毒,,,,,
,,,"d4,R=4-Cl",113,181,,,,226,90,,,高毒,,,,,
,,,"d5,R=3-Cl",181,113,,,,181,90,,,高毒,,,,,
,,,"d6,R=2-Cl",226,113,,,,113,181,,,高毒,,,,,
,,,"d7,R=2-Me",188,117,,,,235,469,,,高毒,,,,,
,,,"d8,R=4-Me",94,235,,,,235,188,,,高毒,,,,,
,,,"e1,R=H",440,881,,,,176,176,,,高毒,,,,,
,,,"e2,R=4-F",171,213,,,,427,854,,,高毒,,,,,
,,,"e3,R=4-CF3",787,787,,,,787,393,,,高毒,,,,,
,,,"e4,R=4-Cl",208,415,,,,415,830,,,高毒,,,,,
,,,"e5,R=3-Cl",415,166,,,,415,830,,,高毒,,,,,
,,,"e6,R=2-Cl",415,830,,,,208,415,,,高毒,,,,,
,,,"e7,R=2-Me",430,860,,,,215,430,,,高毒,,,,,
,,,"e8,R=4-Me",860,860,,,,430,860,,,高毒,,,,,
2377,,,,S.aureus,B. subtilis,,,,E.Coli,P.aeruginosa,,,,Comptes Rendus. Chimie 18.12 (2015): 1320-1327.,,,,
,NN1C(SCCSC2=NN=C(C3=CC=CC=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,NN1C(SCCSC2=NN=C(C3=CC=CC=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,10a，R1=H,64,＞128,,,,64,＞128,,,中毒,,,,,
,CC1=CC=CC=C1C1=NN=C(SCCSC2=NN=C(C3=CNC4=CC=CC=C43)N2N)O1,CC1=CC=CC=C1C1=NN=C(SCCSC2=NN=C(C3=CNC4=CC=CC=C43)N2N)O1,10b，R1=2-CH3,＞128,＞128,,,,＞128,＞128,,,中毒,,,,,
,CC1=CC=CC(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)=C1,CC1=CC=CC(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)=C1,10c，R1=3-CH3,64,＞128,,,,32,128,,,中毒,,,,,
,CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,10d，R1=4-CH3,16,128,,,,16,64,,,中毒,,,,,
,NN1C(C2=CNC3=CC=CC=C32)=NN=C1SCCSC(O4)=NN=C4C5=C(OC)C=CC=C5,NN1C(C2=CNC3=CC=CC=C32)=NN=C1SCCSC(O4)=NN=C4C5=C(OC)C=CC=C5,10e，R1=2-OCH3,32,＞128,,,,32,＞128,,,中毒,,,,,
,NN1C(SCCSC2=NN=C(O2)C3=CC=CC(OC)=C3)=NN=C1C4=CNC5=CC=CC=C45,NN1C(SCCSC2=NN=C(O2)C3=CC=CC(OC)=C3)=NN=C1C4=CNC5=CC=CC=C45,10f，R1=4-OCH3,8,32,,,,8,32,,,中毒,,,,,
,CCOC1=CC=CC=C1C1=NN=C(SCCSC2=NN=C(C3=CNC4=CC=CC=C43)N2N)O1,CCOC1=CC=CC=C1C1=NN=C(SCCSC2=NN=C(C3=CNC4=CC=CC=C43)N2N)O1,10g，R1=2-OCH2CH3,64,128,,,,128,128,,,中毒,,,,,
,NN1C(SCCSC2=NN=C(C3=CC=C(F)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,NN1C(SCCSC2=NN=C(C3=CC=C(F)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,10h，R1=4-F,32,16,,,,32,128,,,高毒,,,,,
,NN1C(SCCSC2=NN=C(C3=CC=C(Cl)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,NN1C(SCCSC2=NN=C(C3=CC=C(Cl)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,10i，R1=4-Cl,64,＞128,,,,64,＞128,,,中毒,,,,,
,NN1C(SCCSC2=NN=C(C3=CC=C(Br)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,NN1C(SCCSC2=NN=C(C3=CC=C(Br)C=C3)O2)=NN=C1C1=CNC2=CC=CC=C21,10j，R1=4-Br,＞128,＞128,,,,＞128,＞128,,,中毒,,,,,
,CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C(C)=C1,CC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C(C)=C1,10k，R1=2，4-CH3,128,＞128,,,,64,64,,,中毒,,,,,
,NC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,NC1=CC=C(C2=NN=C(SCCSC3=NN=C(C4=CNC5=CC=CC=C54)N3N)O2)C=C1,10l，R1=4-NH2,2,8,,,,8,16,,,高毒,,,,,
,NN1C(C2=CNC3=CC=CC=C23)=NN=C1SCCSC4=NN=C(C5=C(C=CC=C6)C6=CC=C5)O4,NN1C(C2=CNC3=CC=CC=C23)=NN=C1SCCSC4=NN=C(C5=C(C=CC=C6)C6=CC=C5)O4,10m，R1=NA,64,＞128,,,,32,＞128,,,中毒,,,,,
2380,,,,S.aureus,B. subtilis,B.amyloliquefaciens,,,E.Coli,P.aeruginosa,,,,Bioorganic & Medicinal Chemistry Letters 24.1 (2014): 90-95.,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(Br)C=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(Br)C=C2)C3=NC=CN=C3,H1，R3=Br,50,25,25,,,50,50,,,,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2)C3=NC=CN=C3,H4，R3=Cl,50,＞50,50,,,50,＞50,,,低毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(C)C=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(C)C=C2)C3=NC=CN=C3,H5，R3=CH3,25,25,25,,,12.5,50,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2Cl)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(Cl)C=C2Cl)C3=NC=CN=C3,H9，R1=Cl，R3=Cl,50,＞50,＞50,,,50,＞50,,,低毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(OC)C(OC)=C2)C3=NC=CN=C3,H10，R2=OCH3，R3=OCH3,12.5,25,25,,,25,50,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C=C2OC)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C=C2OC)C3=NC=CN=C3,H11，R1=OCH3，R3=OCH3，R4=OCH3,25,3.13,6.25,,,6.25,12.5,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC(OC)=C(OC)C(OC)=C2)C3=NC=CN=C3,H12，R2=OCH3，R3=OCH3，R4=OCH3,12.5,6.25,25,,,6.25,12.5,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=CC=C2OC)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=CC=C2OC)C3=NC=CN=C3,H13，R1=OCH3,25,25,25,,,12.5,25,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=CC=C2O)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=CC=C2O)C3=NC=CN=C3,H16，R1=OH,50,25,25,,,12.5,25,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(O)C=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(O)C=C2)C3=NC=CN=C3,H17，R3=OH,1.56,0.78,0.78,,,0.39,1.56,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=CC(O)=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=CC(O)=C2)C3=NC=CN=C3,H18，R2=OH,＞50,50,50,,,25,25,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C2=CC=C(O)C(O)=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C2=CC=C(O)C(O)=C2)C3=NC=CN=C3,H19，R2=OH，R3=OH,25,25,25,,,12.5,12.5,,,微毒,,,,,
,SC1=NN=C(N1/N=C/C=C/C2=CC=CC=C2)C3=NC=CN=C3,SC1=NN=C(N1/N=C/C=C/C2=CC=CC=C2)C3=NC=CN=C3,,50,25,50,,,12.5,25,,,,,,,,
2386,,,,S.aureus,Bacillussubtilis,ccusaureus Esch,,,E.Coli,Proteusvulgaris,,,,Archiv der Pharmazie 354.6 (2021): 2000473.,,,,
10a,C=C(CNN1C(=O)CSC1C1=CC=C(Br)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,C=C(CNN1C(=O)CSC1C1=CC=C(Br)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,,25,25,＞50,,,12.5,25,,,中毒,,,,,
10b,O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,O=C(CNN1C(=O)CSC1C1=CC=C(F)C=C1)NN1C(C2=CC=NC=C2)=NNC1S,,3.125,6.25,12.5,,,25,6.25,,,中毒,,,,,
10f,O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,O=C(CNN1C(=O)CS[C@H]1C1=CC=C(F)C=C1)NN1C(C2=CC=C(Cl)C=C2)=NN[C@@H]1S,,6.25,6.25,12.5,,,12.5,12.5,,,中毒,,,,,
10k,C[C@@H]1SC(C2=CC=C(Br)C=C2)C(NCC(=O)NN2C(C3=CC=C(Cl)C=C3)=NN[C@@H]2S)C1=O,C[C@@H]1SC(C2=CC=C(Br)C=C2)C(NCC(=O)NN2C(C3=CC=C(Cl)C=C3)=NN[C@@H]2S)C1=O,,12.5,12.5,12.5,,,25,＞50,,,中毒,,,,,
10m,O=C(CNN1C(=O)CSC1C1=CC=CC=C1Cl)NN1C(C2=CC=NC=C2)=NNC1S,O=C(CNN1C(=O)CSC1C1=CC=CC=C1Cl)NN1C(C2=CC=NC=C2)=NNC1S,,12.5,12.5,6.25,,,12.5,25,,,中毒,,,,,
10n,O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,O=C(O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O,,3.125,6.25,3.125,,,25,12.5,,,中毒,,,,,
10o,O=C(CNN1C(=O)CSC1C1=C(Cl)C=CC=C1)NN1C(C2=CC=C([N+](=O)[O-])C=C2)=NN[C@@H]1S,O=C(CNN1C(=O)CSC1C1=C(Cl)C=CC=C1)NN1C(C2=CC=C([N+](=O)[O-])C=C2)=NN[C@@H]1S,,6.25,6.25,6.25,,,12.5,25,,,中毒,,,,,
10p,O=C1C(C(O)=O)=CN(C2=NC(N3C/C(C(C3)CN)=N\OC)=C(C=C12)F)C4CC4,O=C1C(C(O)=O)=CN(C2=NC(N3C/C(C(C3)CN)=N\OC)=C(C=C12)F)C4CC4,,12.5,25,25,,,12.5,50,,,中毒,,,,,
10q,S[C@@H]1N(NC(CNN2C(SCC2=O)C3=C(Cl)C=CC=C3)=O)C(C4=CC=C(Cl)C=C4)=NN1,S[C@@H]1N(NC(CNN2C(SCC2=O)C3=C(Cl)C=CC=C3)=O)C(C4=CC=C(Cl)C=C4)=NN1,,25,25,12.5,,,ND,＞50,,,中毒,,,,,
10r,C[C@H]1COC2=C3C(=CC(F)=C2N2CCN(C)CC2)C(=O)C(C(=O)O)=CN31,C[C@H]1COC2=C3C(=CC(F)=C2N2CCN(C)CC2)C(=O)C(C(=O)O)=CN31,,12.5,12.5,6.25,,,25,25,,,中毒,,,,,
2416,,,, S.aureus,Cl. Sporogenes,,,,E.Coli,P.aeruginosa,,,,Monatshefte für Chemie-Chemical Monthly 141 (2010): 471-478.,,,,
3a,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=NC=C2)N1C,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=NC=C2)N1C,,738,26.5,,,,ND,ND,,,微毒,,,,,
4a,CC1=NC=C([N+](=O)[O-])N1CCN1N=C(C2=CC=NC=C2)N(C)C1=S,CC1=NC=C([N+](=O)[O-])N1CCN1N=C(C2=CC=NC=C2)N(C)C1=S,,ND,34.3,,,,ND,ND,,,微毒,,,,,
3b,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=CN=C2)N1C1=CC=CC=C1,CC1=NC=C([N+](=O)[O-])N1CCSC1=NN=C(C2=CC=CN=C2)N1C1=CC=CC=C1,,1569,62.4,,,,ND,ND,,,中毒,,,,,
