,smiles,化合物结构,化合物结构,阳性菌 MIC (μg/mL),,,,,阴性菌 MIC (μg/mL),,,,细胞毒性,期刊名、卷、页码,文献原始数据截图,备注,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(Cl)=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(Cl)=C3)N=N2)=C1)=O,7f -C₆H₄-3-Cl (间氯苯基),-,,,,,-,-,-,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3)N=N2)=C1)=O,7g -C₆H₄-4-Cl (对氯苯基),-,,,,,-,50.28 ± 0.43, 50.28 ± 0.11,,中毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3Cl)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C=C3Cl)N=N2)=C1)=O,"7h -C₆H₃ - 2,4 - Cl₂（2,4 - 二氯苯基）",997.63 ± 0.98,,,,,997.63 ± 0.20,997.63 ± 0.62,997.63 ± 0.74,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C(Cl)=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(Cl)C(Cl)=C3)N=N2)=C1)=O,"7i -C₆H₃ - 3,4 - Cl₂（3,4 - 二氯苯基）",997.63 ± 0.70,,,,,498.82 ± 0.12,498.82 ± 0.31,498.82 ± 0.23,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3C)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC=C3C)N=N2)=C1)=O,7j -C₆H₄-2-CH₃(邻甲基苯基),-,,,,,-,-,49.98 ± 0.07,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(C)=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=CC(C)=C3)N=N2)=C1)=O,7k -C₆H₄-3-CH₃(间甲基苯基),-,,,,,-,-,99.97 ± 0.37,,高毒,,,,,
,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(C)C=C3)N=N2)=C1)=O,CC(NC1=CC=CC(OCC2=CN(CC3=CC=C(C)C=C3)N=N2)=C1)=O,7l -C₆H₄-4-CH₃(对甲基苯基),-,,,,,-,-,52.17 ± 0.13,,高毒,,,,,
1399,,,,,Gram-positive VRE（）,Gram-positive MRSA（）,,,,Gram-negative Ac.Baumannii（）,Gram-negative Car.Resistant Ps.Aeruginosa（）,Gram-negative Klebsiella pneumoniae（）,,Journal of Molecular Structure 1317 (2024) 139006,,,,
,,,3a：R = H,,2.5×10⁵,2.5×10⁵,,,,2.5×10⁵,2.5×10⁵,2.0×10⁵,高毒,,,,,
,,,3b：R = 3 - Me,,2.5×10⁵,5.0×10⁴,,,,2.0×10⁵,2.5×10⁵,1.2×10⁵,高毒,,,,,
